resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Sudan,2026-07-20,0.0,0.0,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Suriname,2026-07-20,0.0,0.0,-0.01,NORMAL,-0.01,NORMAL,0.0,NORMAL
Daily,deepseek,Svalbard & Jan Mayen,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Sweden,2026-07-20,0.0,0.0001,-0.07,NORMAL,-0.07,NORMAL,1.6,NORMAL
Daily,deepseek,Switzerland,2026-07-20,0.0,0.0003,-0.13,NORMAL,-0.13,NORMAL,0.0,NORMAL
Daily,deepseek,Syria,2026-07-20,0.0,0.0001,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,São Tomé & Príncipe,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Taiwan,2026-07-20,0.0,0.0188,-0.28,NORMAL,-0.15,NORMAL,0.0,NORMAL
Daily,deepseek,Tajikistan,2026-07-20,0.0,0.0006,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Tanzania,2026-07-20,0.0,0.0003,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Thailand,2026-07-20,0.0,0.0028,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Timor-Leste,2026-07-20,0.0,0.0,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Togo,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Tonga,2026-07-20,0.0,0.0,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Trinidad & Tobago,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Tunisia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Turkey,2026-07-20,0.0,0.0009,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
